epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2688,1.96066,4.80253,0.00586,0.011,0.22633,0.02548,0.01762,1.78428,3.9758,0.00717,3.75e-05,3.75e-05,3.75e-05
2,27.2922,1.88362,4.49549,0.0062,0.42489,0.0496,0.04445,0.02644,1.81643,3.57599,0.0074,7.99094e-05,7.99094e-05,7.99094e-05
3,33.7292,1.82421,3.79217,0.00572,0.70763,0.06049,0.07522,0.04358,1.86931,3.32492,0.00746,0.000120875,0.000120875,0.000120875
4,39.8171,1.89852,3.29201,0.00558,0.1654,0.18874,0.10162,0.05711,1.82035,3.16935,0.00719,0.000160397,0.000160397,0.000160397
5,46.1909,1.80671,3.01424,0.00586,0.25406,0.18492,0.12338,0.06739,1.79808,2.71528,0.00734,0.000198475,0.000198475,0.000198475
6,52.233,1.80864,2.65197,0.0054,0.47342,0.24107,0.16097,0.08486,1.82288,2.49149,0.00756,0.000235109,0.000235109,0.000235109
7,58.6568,1.80617,2.51064,0.00584,0.58037,0.21903,0.19049,0.0976,1.80003,2.25485,0.0075,0.0002703,0.0002703,0.0002703
8,70.085,1.80137,2.27575,0.00537,0.54816,0.22958,0.2076,0.10221,1.80955,2.18822,0.00747,0.000304047,0.000304047,0.000304047
9,80.0567,1.74668,2.15737,0.0056,0.60806,0.33406,0.30673,0.14447,1.8293,2.08951,0.0075,0.00033635,0.00033635,0.00033635
10,92.4138,1.73125,2.06711,0.006,0.61864,0.34972,0.3536,0.17751,1.8262,1.88732,0.00743,0.000367209,0.000367209,0.000367209
11,104.626,1.73666,1.90791,0.00562,0.52535,0.40248,0.35291,0.16789,1.91594,1.9652,0.0078,0.000396625,0.000396625,0.000396625
12,111.24,1.77184,1.87019,0.00557,0.63897,0.3539,0.40513,0.20792,1.83483,1.72861,0.00762,0.000424597,0.000424597,0.000424597
13,123.034,1.69072,1.73662,0.0057,0.51923,0.41546,0.41052,0.20922,1.80405,1.74642,0.00741,0.000451125,0.000451125,0.000451125
14,135.358,1.81384,1.69084,0.00485,0.48339,0.43732,0.37489,0.18165,1.8003,1.80409,0.00746,0.000476209,0.000476209,0.000476209
15,141.256,1.75226,1.57316,0.00516,0.53056,0.4696,0.40552,0.19459,1.80429,1.68087,0.00728,0.000480625,0.000480625,0.000480625
16,147.652,1.77048,1.57047,0.00532,0.59689,0.46179,0.43248,0.22092,1.80225,1.69746,0.00748,0.000470312,0.000470312,0.000470312
17,159.946,1.71565,1.58349,0.00512,0.47794,0.45303,0.45552,0.22462,1.74173,1.73906,0.00701,0.00046,0.00046,0.00046
18,172.182,1.71403,1.54854,0.00484,0.58484,0.4054,0.45414,0.21912,1.80942,1.72447,0.00754,0.000449688,0.000449688,0.000449688
19,178.302,1.71706,1.52285,0.00561,0.33127,0.45609,0.36231,0.17962,1.86877,1.68399,0.00797,0.000439375,0.000439375,0.000439375
20,184.808,1.69879,1.46911,0.00497,0.51465,0.34956,0.37388,0.19024,1.86369,1.64586,0.00781,0.000429063,0.000429063,0.000429063
21,190.843,1.66381,1.37844,0.00497,0.3942,0.45096,0.3744,0.19406,1.85894,1.67452,0.0078,0.00041875,0.00041875,0.00041875
22,197.292,1.62531,1.3501,0.00509,0.67688,0.34896,0.43453,0.21715,1.83553,1.6251,0.00737,0.000408438,0.000408438,0.000408438
23,203.315,1.66242,1.33326,0.005,0.64042,0.38415,0.43572,0.21326,1.84327,1.62551,0.00744,0.000398125,0.000398125,0.000398125
24,209.781,1.60344,1.30887,0.00473,0.46216,0.41164,0.43869,0.21911,1.78572,1.68852,0.00725,0.000387813,0.000387813,0.000387813
25,215.819,1.61349,1.22803,0.00495,0.62789,0.36517,0.45683,0.23824,1.77961,1.67236,0.00708,0.0003775,0.0003775,0.0003775
26,226.027,1.59603,1.21236,0.00494,0.57526,0.38213,0.43699,0.22612,1.85361,1.72178,0.00766,0.000367187,0.000367187,0.000367187
27,232.169,1.6565,1.25044,0.00456,0.48033,0.43925,0.45841,0.24279,1.86173,1.75525,0.00787,0.000356875,0.000356875,0.000356875
28,244.124,1.55312,1.18012,0.00442,0.47005,0.44675,0.51214,0.26326,1.84479,1.8157,0.00751,0.000346563,0.000346563,0.000346563
29,256.305,1.58596,1.12863,0.0047,0.58506,0.43382,0.52009,0.26241,1.81095,1.73144,0.00744,0.00033625,0.00033625,0.00033625
30,262.223,1.60201,1.1338,0.0045,0.59542,0.47475,0.58996,0.29177,1.81857,1.55283,0.00747,0.000325938,0.000325938,0.000325938
31,273.061,1.50337,1.08766,0.00461,0.36957,0.53638,0.5038,0.25517,1.80644,1.66524,0.0074,0.000315625,0.000315625,0.000315625
32,279.226,1.54855,1.09331,0.00455,0.39361,0.58053,0.5191,0.27643,1.81852,1.64376,0.00742,0.000305312,0.000305312,0.000305312
33,285.449,1.56556,1.10492,0.00449,0.47799,0.58002,0.49559,0.26625,1.83646,1.58895,0.00746,0.000295,0.000295,0.000295
34,291.925,1.514,1.04323,0.00445,0.71465,0.47453,0.57089,0.31199,1.79873,1.58499,0.00699,0.000284688,0.000284688,0.000284688
35,303.488,1.50997,1.03763,0.00438,0.6754,0.41591,0.55855,0.30407,1.80727,1.55417,0.00715,0.000274375,0.000274375,0.000274375
36,309.675,1.47155,0.96447,0.00442,0.64585,0.43614,0.61225,0.31455,1.81499,1.53794,0.00731,0.000264062,0.000264062,0.000264062
37,316.133,1.47781,0.98173,0.00428,0.51668,0.58543,0.62285,0.32012,1.80524,1.56034,0.0073,0.00025375,0.00025375,0.00025375
38,322.712,1.44847,0.97604,0.00434,0.55179,0.55631,0.59973,0.30745,1.80274,1.58638,0.00735,0.000243437,0.000243437,0.000243437
39,328.921,1.48767,0.99061,0.00408,0.52228,0.48564,0.53894,0.27433,1.81778,1.58019,0.00754,0.000233125,0.000233125,0.000233125
40,335.124,1.45247,0.94393,0.00441,0.67729,0.48919,0.54777,0.28327,1.81481,1.52615,0.00738,0.000222813,0.000222813,0.000222813
41,341.179,1.48782,0.92433,0.00393,0.54612,0.55325,0.55261,0.2752,1.81634,1.51857,0.00741,0.0002125,0.0002125,0.0002125
42,347.448,1.4469,0.94846,0.00393,0.54005,0.60899,0.55364,0.29321,1.82103,1.50556,0.00747,0.000202188,0.000202188,0.000202188
43,353.953,1.39962,0.89661,0.00397,0.54091,0.53099,0.55301,0.28422,1.80683,1.54549,0.00742,0.000191875,0.000191875,0.000191875
44,360.165,1.41442,0.88226,0.00413,0.49792,0.51444,0.49647,0.25939,1.78949,1.64506,0.00731,0.000181563,0.000181563,0.000181563
45,366.15,1.43818,0.90448,0.00393,0.50126,0.49462,0.49517,0.25832,1.80421,1.62307,0.00745,0.00017125,0.00017125,0.00017125
46,372.559,1.44268,0.89636,0.00401,0.50786,0.48068,0.47955,0.25071,1.80851,1.66129,0.00748,0.000160938,0.000160938,0.000160938
47,378.609,1.44482,0.89569,0.00373,0.60774,0.39994,0.4943,0.25432,1.8135,1.66761,0.00751,0.000150625,0.000150625,0.000150625
48,385.048,1.37928,0.8579,0.00385,0.5663,0.46051,0.53891,0.28195,1.82463,1.60813,0.00756,0.000140313,0.000140313,0.000140313
49,390.939,1.3408,0.82707,0.00383,0.58681,0.49293,0.55089,0.29168,1.82514,1.58207,0.00756,0.00013,0.00013,0.00013
50,397.455,1.3612,0.80405,0.00356,0.58277,0.51716,0.60977,0.32321,1.81901,1.54685,0.00741,0.000119688,0.000119688,0.000119688
51,406.515,1.36091,0.87454,0.00389,0.58175,0.53382,0.61616,0.32144,1.82556,1.50946,0.00739,0.000109375,0.000109375,0.000109375
52,413.493,1.33988,0.78555,0.00395,0.56851,0.54361,0.61769,0.31022,1.81915,1.51861,0.00738,9.90625e-05,9.90625e-05,9.90625e-05
53,419.421,1.31315,0.78269,0.00396,0.54011,0.50289,0.55798,0.28957,1.81319,1.54938,0.00737,8.875e-05,8.875e-05,8.875e-05
54,425.238,1.35768,0.81225,0.00418,0.52677,0.51633,0.54682,0.28991,1.81143,1.586,0.00737,7.84375e-05,7.84375e-05,7.84375e-05
